review_id,order_id,review_score,review_comment_message,predicted_stars,model_confidence,agrees_with_rating
bb60ab3cfc75a214bde519e7933f0d68,4f2d72bec3f76b37047967ded26335f2,1,"Foi enviado produto Diferente daquele do anúncio. Solicitei devolver o produto e receber o valor pago, porém ainda não tive resposta. Espero resolver este desagradável problema de forma consensual.",1,0.814,True
b3b5de8de0875c0892dac314f06748de,81539e7eb97d9fba708603ac8f00b6c9,1,Não comprem desta loja! Tentei fazer o cancelamento da compra por 5 vezes e só fui atende depois de ter recusado a entrega do Correio.,1,0.9,True
77e528454194be0821e7d49fb0eb42f1,364b5f3b94152788007c68501e6c79b9,1,Excelente,5,0.786,False
45fc654a4331da1e43ebdc26322b119f,7c1874537dafaf7092ff655e2d8f3ef7,1,"O jogo de bolas de bilhar que comprei é totalmente diferente do que foi entregue, sendo diferente, a cor, material e diâmetro da bola. Quanto ao recebimento do dinheiro de volta? Como devo proceder?",1,0.556,True
7e63d7013f0ea6a35c9773fde4e01e2a,3fd2328e67f3fa7eefe3738b5eccc86c,1,material ruim. sem garantia ,2,0.421,False
f5b69f682d4217753ce7e7dd59676cf4,69fd1a4dd8b96b9ab0dc82b95be21efd,1,Gostaria de saber por que o meu produto consta como entregue no dia 06/08 ?,1,0.499,True
90206ea85a90179a6f82d6e0761869c7,3645c66b5c03384bc97063c45b29acd7,1,Olá queria informar que o produto não foi entregue,1,0.653,True
c2c239d413c493d844beb67af1a87516,0a31fa5371c2046d273b9fb84e3b2988,1,Já se passaram quase um mês e nada preciso da ajuda de vcs,1,0.628,True
f36b99ffbceabeb3a52181492353ee4b,c7aa0d557dc01880717bbcce8c72640e,1,Falta receber o protetor de porta e os jogos de cama de solteiro,1,0.463,True
3450ec3bbabeb09a08b00fc72da87a30,c46f950813dd2dd9bab4188dceb83175,1,"Boa tarde. 
Não recebo todos os produtos falta o bebe conforto e a base dele.

Aguardo posicionamento

Grato",3,0.384,False
f5eb1bfaedfb54f0f5ec776936172343,5fe5d71d980a06a81a0f27c614ddf0a4,1,Não estou satisfeita com a qualidade do produto,2,0.518,False
f4ac38a0c605e0acf87051fd53a414fc,fd9fd21af695ddc1b8200a18954f7b73,1,"Minha mercadoria não foi entregue , já paguei a primeira fatura quero cancelar a compra pois paguei o frete e não recebi a mercadoria.
",1,0.85,True
a9ede030bb8cf4b63b5ac6630b9c7d34,4351905382d9da2470629f5e764540d6,1,Aparelho não funciona direito ,1,0.651,True
0d5799759045438c9e266f03f5a30a18,171d4e3d9d9ef65b03328734b287170b,1,A cor do produto no site é mais claro que o produto físico! Parece ter diferença no tipo de tecido!!,2,0.359,False
65082ae4066f3c86efb919b4969c7dad,14f71e03c472d2b37384b55708ac8354,1,"Nao gostei do produto. As toalhas sao muito finas, nao enxugam!!! Infelizmente vou pensar se vale a pena comprar pela internet sem manusear o produto, principalmente toalhas de banho.",1,0.628,True
d6a14617b3f025bed0a01359a2f4a0ad,ac8189e5e0b236fb91fbd04c3975b750,1,Comprei duas unidades e recebi apenas uma! ,1,0.781,True
0ccfc62cda902e61bf8dcbc81f24086b,1e07ba4e9a6dafcecd0c46111e477e5c,1,Produto não foi entregue ,1,0.697,True
b9fb7259b39b4b91a8ce7bc62218c86a,b0e40a3e61447dd4231b10489ab96b8e,1,"Não foi entregue o produto que solicitei. Entrei em contato com as lannister e estou aguardando retorno para a troca pelo produto correto, porém ainda não tive retorno das lannister e já está fora d",1,0.634,True
3026fee0918ea1f17c3a24e988e4af8c,6d47b47d25de405d24f3f4c9378e09e1,1,"Fiquei esperando o produto chegar e nada, mostrava que tava transportando mas nunca saía do mesmo lugar, tive que cancelar a entrega, to esperando pra vê se eu vou ser ressarcido do valor! ",1,0.776,True
311cfa581bf477276175ea9bd4a162a4,e40a14dbad08901c276df1547f261960,1,Difícil de resolver um problema na entrega. Comprei 3 itens e foi entregue somente 1 e não tenho com quem falar. Só posso passar email e aguardar resposta. ,1,0.54,True
17fd8b577623e64e4b2dcce81f690abf,6f33b28ba717ec41a3d1e1901d492e05,1,"Até o momento não recebi meu produto. Tento entrar em contato com a Lojas lannister e não consigo. O site dos Correios, empresa contratada para a entrega, não atualiza o status da entrega desde dia 1",1,0.735,True
aa8dd2718e1aa253327c36a6243ab12d,bb64f1e18d5d902401536be66f719e3e,1,"Produto chegou, porém veio incompleto, sem o bebê conforto.
Aguardo resolução.",2,0.409,False
604097d05c7b80206fc808f6781ebfc4,f883e09a1fb01318052c6ab839efb34a,1,"Produto não foi fabricado com toda atenção que deveria ter,parte do couro esta menor que a placa causando perda de qualidade do produto.Deve ter mais atenção do fabricante para não ocorer mais erros.",1,0.597,True
587097f7118d85d573a41d90a06a8fef,4bb595621c2f6ee56c2c25496988f4d3,1,"O tipo de envio ""PAC"" dos correios demora muito , como geralmente a peça de carro e necessária com uma certa urgência deveria ter a opção de sedex. Prefiro pagar R$ 20 a mais no frete e receber logo",3,0.455,False
a5fd451e89e09a05472f66a53df44db1,4392f572045f074cbfacbb5757ac5405,1,Dava impressão do frasco ser maior ou seja o que é tradicionalmente comercializado é de 350 ml.,3,0.356,False
b9b2c5330a4eb9caf9da2d6e2610b950,6190a94657e1012983a274b831d9e811,1,baratheon meu produto não chegou veja aí que eu vou adicionar o Copom.,1,0.729,True
ed572527a5e73f537301486af48a9fe4,e5c7db6481f467875bd4d52357a8f8a1,1,lannister é o pior site de compras na internet muito enrolado as entregas,5,0.68,False
b2ee36b492c8d3846bab15b4e01dd036,ff280fe8985905ec69a41d6510cdcbe4,1,"Apesar de fazer a mesma funções, trocaram os adaptadores e esse que recebi aparentemente parece ser inferior ao que comprei, tanto em qualidade do material como o valor 5x mais barato",2,0.43,False
112e065c1f09645e275f4ca34a4e6617,29baa2288a6c833c165b32b46e4ffcce,1,"Recebemos apenas 01 unidade, porém são 02 conforme Nota Fiscal.
Aguardo urgentemente pelo tripé pois temos a necessidade de 02 unidades conforme foi comprado.",1,0.413,True
d5c5e1e70f31a5a321ab3acc92306f80,5f2aaf089bdf0d14f2357066f139c2a4,1,DESCUMPRIMENTO DE PRAZO PROMETIDO QUE VENCEU HÁ UMA SEMANA. PRODUTO NÃO ENTREGUE.,1,0.886,True
852675513739215804a71ec1be5cfc40,c206348085f589eaf3bcd60a005bb15c,1,Não recebi o produto até agora.,1,0.596,True
aca73a211e54eb67096833db1f7052ca,ee952aac074eb5c8cf647ff715c6d8f1,1,"Boa tarde , não recebi os dois cesto conforme a NF. Recebi somente um , e paguei por dois , espero um contato o mais rápido possível.",1,0.556,True
1458c2f2e4418ad8be2e1d7b01cf582c,340faabdffbbb1609243e82b523fd315,1,"fiquei desapontado com o produto, foi solicitado conforme mostra o modelo e recebemos outro, manchado, riscado, parecia que ja estava em uso... muito triste, ligamos e fomos passado de para outros e..",1,0.763,True
075a07b01e88dd55df852f8b53868850,9c8e60a3e496cdf773216fa56215dd47,1,"Não recebi o que comprei, mandaram outro produto e não consigo contato para trocar pelo correto ou cancelar a compra.",1,0.811,True
d5167be2c15b5e27a01b7d23eebc21a0,e51a8e1d0f0a0cc6eae0b605b53cf9ed,1,O PRODUTO NÃO FOI ENTREGUE,1,0.669,True
73de62e35a3caf354990ca06e1367029,1116c22b8ac5fd55755a1357d17cb070,1,"Lamentável a lannister ter empresas que nem retomam ao cliente. 
Sim o atendimento da lannister do reclameaqui me atendem.

Essa empresa já deveria ser removido site já deixei de comprar pq vi OL",1,0.819,True
